"MARKET_GROUP_C","POV_CODE_C","QUOTED_RATE_C","ENTRY_HOTEL_CODE_R","STATE_R","GUEST_COUNTRY_R","PACE_CATEGORY_R","REVENUE_USD_R","Guest_Country_H","Gender_H","Age_Range_H","Language_H","Likelihood_Recommend_H","Overall_Sat_H","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Property_ID_PL","Hotel.Name.Short_PL","Award.Category_PL","City_PL","Country_PL","Ops.Region_PL","Property.Latitude_PL","Property.Longitude_PL","Currency_PL","Dom.Int.l_PL","Club.Type_PL","Region_PL","Category_PL","Type_PL","Class_PL","Location_PL","Relationship_PL","GP_Tier","Booking_Channel","NPS_Type"
"CONVENTION","BUSINESS",92,"MARRO","WY","UNITED STATES","8-14 Days",92,"USA","Female","36-45","English",5,3,10,1,10,5,1,8,3515,"HP Denver Meadows",1,"Lone Tree","United States","Americas",39.564712,-104.884194,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed",NA,"Global Contact Center","Detractor"
"RACK","LEISURE",480000,"BUSPH",NA,"SOUTH KOREA","4-7 Days",445.44,"Korea","Male","26-35","Korean",10,10,10,10,10,9,8,NA,24001,"PH Busan",4,"Busan","South Korea","ASPAC",35.1575,129.144444,"KRW","International",NA,"Asia Pacific","Full Service","Business","Luxury Class","Urban","Managed","Gold","Hotel","Promoter"
"DISCOUNT","BUSINESS",55,"OMARO","OH","UNITED STATES","0-3 Days",110,"USA","Male","46-55","English",9,8,9,9,9,8,7,8,3867,"HP Columbus OSU",2,"Columbus","United States","Americas",39.97548,-83.025996,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Franchised","Gold","Global Contact Center","Promoter"
"RACK","BUSINESS",89,"OMGDS","WI","UNITED STATES","61-90 Days",287,"USA","Female","36-45","English",9,9,10,9,10,9,9,NA,3590,"HP Eden Prairie",2,"Eden Prairie","United States","Americas",44.862281,-93.421088,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Electronic Distribution","Promoter"
"VOLUME","BUSINESS",91,"CHIXW","MN","UNITED STATES","4-7 Days",1820,"USA","Female","26-35","English",8,8,10,10,10,8,8,9,3856,"HH Warrenville",1,"Warrenville","United States","Americas",41.812848,-88.160493,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","GOLD","Hotel","Passive"
"DISCOUNT","BUSINESS",60.87,"MARRO","NJ","UNITED STATES","22-30 Days",60.87,"USA","Female","36-45","English",10,10,10,NA,9,10,NA,NA,3501,"HH Belmont",2,"Belmont","United States","Americas",37.532439,-122.270989,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Platinum","Global Contact Center","Promoter"
"CONVENTION","BUSINESS",139,"ORLZU","KY","UNITED STATES","15-21 Days",695,"USA","Male","56-65","English",9,8,8,8,8,9,10,5,3626,"HP Orlando Convention",3,"Orlando","United States","Americas",28.438334,-81.469218,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed","Gold","Hotel","Promoter"
"RACK","LEISURE",129,"OMGDS","LA","UNITED STATES","0-3 Days",129,"USA","Female","26-35","English",6,6,6,NA,6,9,NA,NA,3594,"HP Baton Rouge",2,"Baton Rouge","United States","Americas",30.394452,-91.088179,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Electronic Distribution","Detractor"
"VOLUME","BUSINESS",102,"OMGDS","IL","UNITED STATES","0-3 Days",306,"USA","Male","36-45","English",10,10,10,NA,10,7,NA,NA,3705,"HP Malta",3,"Malta","United States","Americas",42.969224,-73.804167,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Diamond","Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",219,"OMGDS","PA","UNITED STATES","22-30 Days",438,"USA","Female","56-65","English",5,6,6,7,7,8,8,8,3299,"HR Crystal City",3,"Arlington","United States","Americas",38.848899,-77.051506,"USD","Domestic",NA,"Americas","Full Service","Business","Upper Upscale Class","Airport","Managed",NA,"Electronic Distribution","Detractor"
"CONVENTION","BUSINESS",189,"OMGDS","PA","UNITED STATES","31-60 Days",945,"USA","Female","46-55","English",9,9,8,10,9,10,9,10,3328,"HR Grand Cypress",5,"Orlando","United States","Americas",28.381945,-81.510327,"USD","Domestic","Regency Club","Americas","Full Service","Resort","Upper Upscale Class","Resort","Owned",NA,"Global Contact Center","Promoter"
"VOLUME","BUSINESS",138,"OMGDS","CT","UNITED STATES","22-30 Days",138,"USA","Female","36-45","English",6,5,9,8,9,7,8,9,3551,"HP Princeton",2,"Princeton","United States","Americas",40.309671,-74.66765,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Electronic Distribution","Detractor"
"CONVENTION","BUSINESS",119,"DTTZH","MI","UNITED STATES","15-21 Days",238,"USA","Female","36-45","English",10,10,10,10,10,10,10,10,34001,"HP Novi",1,"Novi","United States","Americas",42.489236,-83.502678,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","GOLD","Hotel","Promoter"
"OTHER","BUSINESS",111.2,"OMGDS",NA,NA,"0-3 Days",222.4,"USA","Male","26-35","English",10,10,10,10,10,10,10,10,3565,"HP Sterling",1,"Sterling","United States","Americas",39.031652,-77.406919,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Managed",NA,"Electronic Distribution","Promoter"
"RACK","BUSINESS",129.2,"OMGDS","AR","UNITED STATES","8-14 Days",646,"USA","Male","18-25","English",10,10,10,10,10,10,10,5,3694,"HP Atlanta Perimeter",1,"Atlanta","United States","Americas",33.929352,-84.356719,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Platinum","Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",115,"OMGDS","CA","UNITED STATES","90+ Days",460,"USA","Male","76+","English",8,10,8,9,10,10,10,NA,3426,"HR Santa Clara",2,"Santa Clara","United States","Americas",37.405161,-121.976592,"USD","Domestic","Regency Club","Americas","Full Service","Business","Upper Upscale Class","Suburban","Managed","Gold","Global Contact Center","Passive"
"CONVENTION","BUSINESS",169,"OMGDS","DC","UNITED STATES","22-30 Days",676,"USA","Male","76+","English",10,10,10,10,10,9,10,9,3300,"PH Washington",8,"Washington","United States","Americas",38.905877,-77.051032,"USD","Domestic",NA,"Americas","Full Service","Business","Luxury Class","Urban","Owned","GOLD","Electronic Distribution","Promoter"
"RACK","BUSINESS",252000,"OMGDS",NA,"SOUTH KOREA","8-14 Days",233.48,"Korea","Female","26-35","Korean",8,8,7,NA,7,7,NA,NA,24001,"PH Busan",4,"Busan","South Korea","ASPAC",35.1575,129.144444,"KRW","International",NA,"Asia Pacific","Full Service","Business","Luxury Class","Urban","Managed","Gold","Electronic Distribution","Passive"
"SPECIAL","BUSINESS",87.2,"OMGDS","TN","UNITED STATES","0-3 Days",174.4,"USA","Male","46-55","English",10,9,8,NA,10,10,NA,NA,3574,"HP Brentwood",2,"Brentwood","United States","Americas",36.03908,-86.780183,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned","Platinum","Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",119,"DFWXP","PA","UNITED STATES","22-30 Days",357,"USA","Female","36-45","English",10,10,8,9,10,10,10,8,3674,"HH Lincoln Park",1,"Dallas","United States","Americas",32.862426,-96.771265,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Franchised","Gold","Hotel","Promoter"
"DISCOUNT","BUSINESS",21.98,"OMGDS","TX","UNITED STATES","31-60 Days",21.98,"USA","Female","46-55","English",10,9,9,9,9,10,10,10,3633,"HP College Station",3,"College Station","United States","Americas",30.635753,-96.321121,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Diamond","Electronic Distribution","Promoter"
"DISCOUNT","BUSINESS",109.65,"OMGDS","CO","UNITED STATES","8-14 Days",328.95,"USA","Female","46-55","English",10,10,10,10,10,10,10,10,3593,"HP Riverwalk",3,"San Antonio","United States","Americas",29.419634,-98.491888,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Managed","Gold","Electronic Distribution","Promoter"
"VOLUME","BUSINESS",97,"CLLZC","PA","UNITED STATES","0-3 Days",97,"USA","Male","46-55","English",10,10,10,10,10,10,10,NA,3633,"HP College Station",3,"College Station","United States","Americas",30.635753,-96.321121,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Hotel","Promoter"
"RACK","BUSINESS",67.2,"OMGDS","FL","UNITED STATES","22-30 Days",134.4,"USA","Female","46-55","English",10,10,10,NA,10,10,NA,NA,3502,"HP Albuquerque Airport",2,"Albuquerque","United States","Americas",35.047671,-106.63362,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Owned","Gold","Electronic Distribution","Promoter"
"DISCOUNT","LEISURE",87,"OMGDS","CO","UNITED STATES","4-7 Days",174,"USA","Female","36-45","English",9,8,8,9,9,9,8,8,3517,"HP Colorado Springs",2,"Colorado Springs","United States","Americas",38.894796,-104.832215,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed",NA,"Electronic Distribution","Promoter"
"SPECIAL","BUSINESS",161,"OMGDS","TN","UNITED STATES","31-60 Days",322,"USA","Male","46-55","English",9,9,6,9,NA,9,10,10,3577,"HP Opryland",2,"Nashville","United States","Americas",36.162664,-86.781602,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Owned","Gold","Electronic Distribution","Promoter"
"WHOLESALE","LEISURE",99,"OMGDS","NY","UNITED STATES","90+ Days",99,"USA","Male","46-55","English",9,8,8,8,9,9,8,NA,3810,"HP Mohegan Sun",2,"Uncasville","United States","Americas",41.480682,-72.096764,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Electronic Distribution","Promoter"
"DISCOUNT","LEISURE",71,"OMGDS","LA","UNITED STATES","90+ Days",71,"USA","Male","56-65","English",10,10,10,10,10,10,10,10,3514,"HP Denver Airport",2,"Aurora","United States","Americas",39.772246,-104.798281,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Owned","Gold","Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",129,"OMARO","CT","UNITED STATES","31-60 Days",129,"USA","Female","56-65","English",10,10,10,10,10,10,10,NA,3810,"HP Mohegan Sun",2,"Uncasville","United States","Americas",41.480682,-72.096764,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Global Contact Center","Promoter"
"RACK","LEISURE",109,"OMARO","NC","UNITED STATES","15-21 Days",109,"USA","Male","46-55","English",10,10,NA,8,9,10,10,10,3546,"HP Arrowood",1,"Charlotte","United States","Americas",35.135838,-80.904551,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Global Contact Center","Promoter"
"RACK","LEISURE",67.2,"OMGDS","IA","UNITED STATES","8-14 Days",67.2,"USA","Female","26-35","English",10,9,10,10,10,9,8,9,3609,"HP Schaumburg",1,"Schaumburg","United States","Americas",42.053981,-88.031929,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",89,"CINZB","KY","UNITED STATES","15-21 Days",178,"USA","Male","46-55","English",8,8,8,NA,8,8,NA,NA,3554,"HP Blue Ash",1,"Blue Ash","United States","Americas",39.276184,-84.375658,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Hotel","Passive"
"DISCOUNT","BUSINESS",20.24,"OMGDS","TX","UNITED STATES","8-14 Days",40.48,"USA",NA,NA,"English",10,8,8,9,8,10,10,10,3672,"HH Dallas Uptown",1,"Dallas","United States","Americas",32.795092,-96.810102,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Franchised","Platinum","Electronic Distribution","Promoter"
"VOLUME","BUSINESS",134,"OMGDS","GA","UNITED STATES","8-14 Days",536,"USA","Male","46-55","English",9,9,8,9,9,9,8,9,3586,"HP El Paso",2,"El Paso","United States","Americas",31.780665,-106.412664,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Managed","Gold","Electronic Distribution","Promoter"
"RACK","LEISURE",198182,"BUSPH",NA,"SOUTH KOREA","15-21 Days",183.62,"Korea","Male","46-55","Korean",10,10,10,NA,10,10,NA,NA,24001,"PH Busan",4,"Busan","South Korea","ASPAC",35.1575,129.144444,"KRW","International",NA,"Asia Pacific","Full Service","Business","Luxury Class","Urban","Managed","GOLD","Hotel","Promoter"
"CONVENTION","BUSINESS",199,"OMGDS","AK","UNITED STATES","31-60 Days",796,"USA","Female","36-45","English",10,10,10,10,10,10,10,10,3328,"HR Grand Cypress",5,"Orlando","United States","Americas",28.381945,-81.510327,"USD","Domestic","Regency Club","Americas","Full Service","Resort","Upper Upscale Class","Resort","Owned","GOLD","Electronic Distribution","Promoter"
"RACK","LEISURE",0,"DOHGH",NA,"QATAR","8-14 Days",274.12,"Qatar","Male","36-45","Arabic",5,7,10,9,9,8,5,10,3789,"GH Doha",4,"Doha","Qatar","Americas",25.29161,51.530437,"QAR","International","Grand Club","Middle East & Africa","Full Service","Resort","Luxury Class","Suburban","Managed","GOLD","Electronic Distribution","Detractor"
"VOLUME","BUSINESS",160.65,"FLLZA","FL","UNITED STATES","8-14 Days",160.65,"USA","Female","46-55","English",10,10,10,10,10,10,10,10,3519,"HP FTL 17th Street",2,"Ft. Lauderdale","United States","Americas",26.097935,-80.13327,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Resort","Franchised",NA,"Electronic Distribution","Promoter"
"OTHER","BUSINESS",89,"OMGDS",NA,NA,"0-3 Days",89,"USA","Male","26-35","English",10,10,10,10,10,10,10,10,3626,"HP Orlando Convention",3,"Orlando","United States","Americas",28.438334,-81.469218,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed","GOLD","Electronic Distribution","Promoter"
"RACK","BUSINESS",289,"OMARO","AR","UNITED STATES","31-60 Days",289,"USA","Female","56-65","English",9,7,10,NA,10,3,NA,NA,3421,"GH DFW",3,"DFW Airport","United States","Americas",32.897546,-97.044252,"USD","Domestic",NA,"Americas","Full Service","Business","Luxury Class","Airport","Managed","Gold","Global Contact Center","Promoter"
"DISCOUNT","BUSINESS",125.1,"MARRO","NY","UNITED STATES","0-3 Days",125.1,"USA","Male","56-65","English",9,9,9,10,10,10,10,7,3698,"HR O'Hare",2,"Rosemont","United States","Americas",41.980952,-87.860781,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Airport","Owned","Gold","Global Contact Center","Promoter"
"RACK","BUSINESS",119,"OMARO","WI","UNITED STATES","0-3 Days",119,"USA","Female","66-75","English",10,10,10,10,10,10,9,10,3621,"HP Milwaukee Airport",1,"Milwaukee","United States","Americas",42.947176,-87.913726,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Franchised","Gold","Global Contact Center","Promoter"
"RACK","LEISURE",0,"MARRO","ON","CANADA","0-3 Days",139,"Canada","Male","76+","English",8,7,8,8,8,8,9,NA,3299,"HR Crystal City",3,"Arlington","United States","Americas",38.848899,-77.051506,"USD","Domestic",NA,"Americas","Full Service","Business","Upper Upscale Class","Airport","Managed","Gold","Global Contact Center","Passive"
"DISCOUNT","LEISURE",83,"OMGDS","TN","UNITED STATES","4-7 Days",83,"USA","Male",NA,"English",10,10,10,10,10,10,10,10,3576,"HP Nashville Northeast",1,"Hendersonville","United States","Americas",36.31264,-86.596616,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed","Gold","Electronic Distribution","Promoter"
"RACK","BUSINESS",169,"MIAXM","FL","UNITED STATES","4-7 Days",676,"Mexico",NA,"46-55","Spanish (Americas)",10,10,10,10,10,10,10,10,3492,"HH Miami Airport",2,"Miami","United States","Americas",25.781366,-80.289501,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Franchised","GOLD","Hotel","Promoter"
"DISCOUNT","BUSINESS",170,"OMGDS","NY","UNITED STATES","31-60 Days",322,"USA","Male","56-65","English",10,10,10,10,10,10,10,NA,3843,"HP Garden City",2,"Garden City","United States","Americas",40.72309,-73.658707,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","GOLD","Electronic Distribution","Promoter"
"OTHER","BUSINESS",67.2,"OMGDS",NA,NA,"61-90 Days",67.2,"New Zealand","Male","56-65","English",8,8,8,8,8,8,8,8,3514,"HP Denver Airport",2,"Aurora","United States","Americas",39.772246,-104.798281,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Owned","GOLD","Electronic Distribution","Passive"
"DISCOUNT","LEISURE",67,"RICZI","VA","UNITED STATES","0-3 Days",67,"USA","Female","56-65","English",9,9,10,10,7,9,10,NA,3592,"HP Richmond Innsbrook",1,"Glen Allen","United States","Americas",37.649781,-77.584185,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Hotel","Promoter"
"CONVENTION","BUSINESS",105,"OMGDS","TX","UNITED STATES","90+ Days",210,"USA","Female","66-75","English",10,10,10,10,10,10,10,NA,3682,"HR North Dallas",1,"Richardson","United States","Americas",32.976371,-96.714039,"USD","Domestic","Regency Club","Americas","Full Service","Franchise","Upper Upscale Class","Suburban","Franchised","GOLD","Global Contact Center","Promoter"
"VOLUME","BUSINESS",215,"WASPH","NY","UNITED STATES","8-14 Days",5805,"USA","Male","66-75","English",10,9,8,NA,9,9,NA,NA,3300,"PH Washington",8,"Washington","United States","Americas",38.905877,-77.051032,"USD","Domestic",NA,"Americas","Full Service","Business","Luxury Class","Urban","Owned","Diamond","Hotel","Promoter"
"RACK","LEISURE",109,"OMGDS","TX","UNITED STATES","0-3 Days",109,"USA","Male","36-45","English",8,8,8,8,8,10,10,8,3604,"HP Austin Arboretum",2,"Austin","United States","Americas",30.384824,-97.737491,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Electronic Distribution","Passive"
"DISCOUNT","BUSINESS",206,"OMGDS","WA","UNITED STATES","8-14 Days",824,"USA","Male","56-65","English",8,8,9,9,9,8,7,6,3328,"HR Grand Cypress",5,"Orlando","United States","Americas",28.381945,-81.510327,"USD","Domestic","Regency Club","Americas","Full Service","Resort","Upper Upscale Class","Resort","Owned","Diamond","Electronic Distribution","Passive"
"RACK","LEISURE",89.2,"OMARO","FL","UNITED STATES","0-3 Days",336.8,"USA","Female","26-35","English",6,1,8,NA,10,10,NA,NA,3694,"HP Atlanta Perimeter",1,"Atlanta","United States","Americas",33.929352,-84.356719,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Global Contact Center","Detractor"
