"MARKET_GROUP_C","POV_CODE_C","QUOTED_RATE_C","ENTRY_HOTEL_CODE_R","STATE_R","GUEST_COUNTRY_R","PACE_CATEGORY_R","REVENUE_USD_R","Guest_Country_H","Gender_H","Age_Range_H","Language_H","Likelihood_Recommend_H","Overall_Sat_H","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Property_ID_PL","Hotel.Name.Short_PL","Award.Category_PL","City_PL","Country_PL","Ops.Region_PL","Property.Latitude_PL","Property.Longitude_PL","Currency_PL","Dom.Int.l_PL","Club.Type_PL","Region_PL","Category_PL","Type_PL","Class_PL","Location_PL","Relationship_PL","GP_Tier","Booking_Channel","NPS_Type"
"DISCOUNT","BUSINESS",160.65,"OMARO","CA","UNITED STATES","15-21 Days",803.25,"USA","Male","36-45","English",10,9,8,9,8,9,10,10,3494,"HH Morristown",2,"Morristown","United States","Americas",40.79242,-74.433521,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned","Gold","Global Contact Center","Promoter"
"VOLUME","BUSINESS",224,"OMGDS","IL","UNITED STATES","22-30 Days",672,"USA","Female","36-45","English",9,9,9,9,9,9,8,NA,3496,"HH Pleasanton",2,"Pleasanton","United States","Americas",37.689132,-121.900912,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Electronic Distribution","Promoter"
"RACK","BUSINESS",159,"OMGDS","MS","UNITED STATES","4-7 Days",477,"USA","Female","46-55","English",10,10,10,10,10,10,10,10,3710,"HP Jackson",1,"Ridgeland","United States","Americas",32.437012,-90.145457,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","GOLD","Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",159,"PHLXP","PA","UNITED STATES","22-30 Days",318,"USA",NA,"46-55","English",10,10,10,NA,10,10,NA,NA,3498,"HH Plymouth Meeting",2,"East Norriton","United States","Americas",40.138185,-75.304625,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned",NA,"Hotel","Promoter"
"RACK","BUSINESS",179,"OMGDS","CA","UNITED STATES","4-7 Days",179,"USA","Male","46-55","English",1,4,7,8,8,10,NA,9,3604,"HP Austin Arboretum",2,"Austin","United States","Americas",30.384824,-97.737491,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Diamond","Electronic Distribution","Detractor"
"RACK","LEISURE",79.2,"OMGDS","GA","UNITED STATES","0-3 Days",79.2,"USA","Male","18-25","English",10,10,10,9,10,10,10,NA,3694,"HP Atlanta Perimeter",1,"Atlanta","United States","Americas",33.929352,-84.356719,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Electronic Distribution","Promoter"
"DISCOUNT","LEISURE",98,"SAFZS","TX","UNITED STATES","0-3 Days",196,"USA","Male","56-65","English",8,8,8,8,8,8,8,NA,3488,"HP Santa Fe",2,"Sante Fe","United States","Americas",35.63298,-106.019311,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","GOLD","Hotel","Passive"
"OTHER","BUSINESS",72.98,"OMGDS",NA,NA,"22-30 Days",72.98,"USA","Female","56-65","English",10,10,10,NA,10,10,NA,NA,3514,"HP Denver Airport",2,"Aurora","United States","Americas",39.772246,-104.798281,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Owned","GOLD","Electronic Distribution","Promoter"
"RACK","BUSINESS",89,"OMGDS","MN","UNITED STATES","4-7 Days",356,"USA","Female","36-45","English",8,8,8,9,8,9,9,10,3590,"HP Eden Prairie",2,"Eden Prairie","United States","Americas",44.862281,-93.421088,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Electronic Distribution","Passive"
"RACK","LEISURE",139,"OMGDS","TX","UNITED STATES","22-30 Days",278,"USA","Male","26-35","English",10,10,10,NA,10,10,NA,NA,3579,"HP Dallas Grapevine",1,"Grapevine","United States","Americas",32.961023,-97.046528,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Franchised",NA,"Electronic Distribution","Promoter"
"DISCOUNT","BUSINESS",98.54,"OMGDS","CA","UNITED STATES","0-3 Days",98.54,"USA","Female","26-35","English",10,10,10,10,10,10,10,NA,3010,"HR Washington",4,"Washington","United States","Americas",38.895137,-77.011447,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed",NA,"Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",179,"OMGDS","DE","UNITED STATES","90+ Days",358,"USA","Male","26-35","English",9,9,8,8,9,9,8,8,3422,"HR Jacksonville",2,"Jacksonville","United States","Americas",30.324201,-81.65534,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed",NA,"Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",184,"OMGDS","VA","UNITED STATES","22-30 Days",184,"USA","Male","56-65","English",9,9,9,9,9,10,10,8,3010,"HR Washington",4,"Washington","United States","Americas",38.895137,-77.011447,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed","Gold","Electronic Distribution","Promoter"
"VOLUME","BUSINESS",111,"OMGDS",NA,NA,"15-21 Days",555,"USA","Male","46-55","English",4,4,4,9,9,9,8,9,3870,"HP Sugar Land",2,"Sugar Land","United States","Americas",29.602398,-95.624035,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed",NA,"Electronic Distribution","Detractor"
"VOLUME","BUSINESS",83,"OMGDS","MA","UNITED STATES","8-14 Days",83,"USA","Prefer not to answer","46-55","English",7,6,6,NA,6,5,NA,NA,3502,"HP Albuquerque Airport",2,"Albuquerque","United States","Americas",35.047671,-106.63362,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Owned","Platinum","Electronic Distribution","Passive"
"VOLUME","BUSINESS",99,"OMGDS","FL","UNITED STATES","8-14 Days",198,"USA","Female","46-55","English",10,10,7,NA,10,10,NA,NA,19001,"HP Daytona Beach",3,"Daytona Beach Shores","United States","Americas",29.16142,-80.974109,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Resort","Franchised","Gold","Electronic Distribution","Promoter"
"VOLUME","BUSINESS",89,"OMGDS",NA,NA,"31-60 Days",89,"Venezuela","Male","56-65","Spanish (Americas)",10,10,10,NA,10,10,NA,NA,3246,"HR Villahermosa",1,"Villahermosa","Mexico","Americas",31.727534,-106.441799,"MXN","International","Regency Club","Americas","Full Service","Business","Upper Upscale Class","Urban","Managed","PLAT","Electronic Distribution","Promoter"
"RACK","LEISURE",265,"OMGDS","TX","UNITED STATES","22-30 Days",419,"USA","Female","26-35","English",10,10,10,10,10,10,8,10,3472,"HR Lost Pines",5,"Lost Pines","United States","Americas",30.163423,-97.445459,"USD","Domestic","Regency Club","Americas","Full Service","Resort","Upper Upscale Class","Suburban","Managed","Platinum","Electronic Distribution","Promoter"
"DISCOUNT","BUSINESS",94,"MARRO","FL","UNITED STATES","22-30 Days",94,"USA","Female","46-55","English",9,9,9,9,9,9,9,9,3628,"HP Roanoke Airport",2,"Roanoke","United States","Americas",37.308254,-79.970867,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Global Contact Center","Promoter"
"DISCOUNT","BUSINESS",278,"MARRO","QC","CANADA","31-60 Days",318,"Canada","Female","56-65","English",10,10,10,8,10,10,10,10,3492,"HH Miami Airport",2,"Miami","United States","Americas",25.781366,-80.289501,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Franchised","Gold","Global Contact Center","Promoter"
"DISCOUNT","BUSINESS",93,"OMGDS","PA","UNITED STATES","22-30 Days",279,"USA","Female","46-55","English",10,10,10,NA,10,10,NA,NA,3563,"HP Cincinnati Airport",1,"Florence","United States","Americas",39.012293,-84.635297,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned","Platinum","Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",179,"OMGDS","TN","UNITED STATES","8-14 Days",179,"USA","Female","36-45","English",8,8,8,8,8,8,8,5,3299,"HR Crystal City",3,"Arlington","United States","Americas",38.848899,-77.051506,"USD","Domestic",NA,"Americas","Full Service","Business","Upper Upscale Class","Airport","Managed",NA,"Electronic Distribution","Passive"
"VOLUME","BUSINESS",0,"CHIRO","IL","UNITED STATES","0-3 Days",100.04,"USA","Male","46-55","English",7,5,10,NA,8,6,NA,NA,3698,"HR O'Hare",2,"Rosemont","United States","Americas",41.980952,-87.860781,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Airport","Owned","Gold","Hotel","Passive"
"DISCOUNT","BUSINESS",30.7,"OMARO","AL","UNITED STATES","8-14 Days",30.7,"USA","Female","26-35","English",9,9,8,8,8,10,10,10,3691,"HP Hoover",1,"Hoover","United States","Americas",33.370859,-86.814031,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Platinum","Global Contact Center","Promoter"
"CONVENTION","BUSINESS",90,"OMARO","OH","UNITED STATES","31-60 Days",180,"USA","Male","56-65","English",10,10,10,10,10,10,10,NA,3592,"HP Richmond Innsbrook",1,"Glen Allen","United States","Americas",37.649781,-77.584185,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Global Contact Center","Promoter"
"DISCOUNT","BUSINESS",101,"OMGDS","MN","UNITED STATES","4-7 Days",101,"USA","Female","56-65","English",7,7,8,NA,7,9,NA,NA,3598,"HP Minneapolis Airport",2,"Bloomington","United States","Americas",44.860906,-93.226979,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Franchised","Gold","Electronic Distribution","Passive"
"CONVENTION","BUSINESS",105,"OMARO","TX","UNITED STATES","90+ Days",210,"USA","Male","46-55","English",10,10,10,NA,10,10,NA,NA,3710,"HP Jackson",1,"Ridgeland","United States","Americas",32.437012,-90.145457,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Global Contact Center","Promoter"
"CONVENTION","BUSINESS",199,"OMGDS","GA","UNITED STATES","8-14 Days",199,"USA","Male","56-65","English",10,10,10,10,10,10,10,NA,3421,"GH DFW",3,"DFW Airport","United States","Americas",32.897546,-97.044252,"USD","Domestic",NA,"Americas","Full Service","Business","Luxury Class","Airport","Managed","Gold","Electronic Distribution","Promoter"
"DISCOUNT","BUSINESS",88.4,"OMGDS","MI","UNITED STATES","8-14 Days",88.4,"USA","Female","46-55","English",10,10,10,NA,10,10,NA,NA,3542,"HP Livonia",1,"Livonia","United States","Americas",42.426314,-83.430471,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned",NA,"Electronic Distribution","Promoter"
"WHOLESALE","BUSINESS",78.06,"OMGDS",NA,NA,"15-21 Days",234.18,"USA","Male","46-55","English",9,9,8,8,8,9,9,9,3698,"HR O'Hare",2,"Rosemont","United States","Americas",41.980952,-87.860781,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Airport","Owned",NA,"Electronic Distribution","Promoter"
"DISCOUNT","LEISURE",100,"OMGDS","IL","UNITED STATES","0-3 Days",100,"USA","Male","26-35","English",7,7,9,8,8,8,8,9,3561,"HP Lombard",1,"Lombard","United States","Americas",41.843954,-87.996047,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed","Gold","Electronic Distribution","Passive"
"RACK","LEISURE",89,"OMARO","SC","UNITED STATES","0-3 Days",89,"USA","Female","36-45","English",10,10,10,NA,10,10,NA,NA,3696,"HP City Park",1,"Charlotte","United States","Americas",35.182241,-80.91924,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed",NA,"Global Contact Center","Promoter"
"CONVENTION","BUSINESS",129,"OMGDS","FL","UNITED STATES","31-60 Days",258,"USA","Male","36-45","English",7,7,6,NA,6,9,NA,NA,3422,"HR Jacksonville",2,"Jacksonville","United States","Americas",30.324201,-81.65534,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed","GOLD","Electronic Distribution","Passive"
"CONVENTION","BUSINESS",105,"OMGDS","AL","UNITED STATES","22-30 Days",105,"USA","Female","26-35","English",8,9,8,NA,8,10,NA,NA,3529,"HP Buckhead",2,"Atlanta","United States","Americas",33.843798,-84.3727,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned","GOLD","Electronic Distribution","Passive"
"CONVENTION","BUSINESS",219,"OMGDS","PA","UNITED STATES","4-7 Days",219,"USA","Male","66-75","English",10,10,10,10,10,10,10,9,3301,"GH Washington",5,"Washington","United States","Americas",38.899591,-77.026465,"USD","Domestic","Grand Club","Americas","Full Service","Convention","Luxury Class","Urban","Managed","Gold","Global Contact Center","Promoter"
"DISCOUNT","LEISURE",152,"OMGDS","CO","UNITED STATES","31-60 Days",760,"USA","Male",NA,"English",6,6,6,2,8,10,10,10,3730,"HP Sarasota",2,"Sarasota","United States","Americas",27.381415,-82.551899,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Franchised","Gold","Electronic Distribution","Detractor"
"CONVENTION","BUSINESS",199,"OMGDS","MD","UNITED STATES","61-90 Days",995,"USA","Female","56-65","English",10,10,10,NA,10,10,NA,NA,3328,"HR Grand Cypress",5,"Orlando","United States","Americas",28.381945,-81.510327,"USD","Domestic","Regency Club","Americas","Full Service","Resort","Upper Upscale Class","Resort","Owned",NA,"Electronic Distribution","Promoter"
"SPECIAL","BUSINESS",107,"OMGDS","GA","UNITED STATES","15-21 Days",107,"USA","Female","26-35","English",7,8,6,6,6,6,4,NA,3531,"HP Atlanta Downtown",2,"Atlanta","United States","Americas",33.763528,-84.387011,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Franchised",NA,"Electronic Distribution","Passive"
"CONVENTION","BUSINESS",179,"OMGDS","TX","UNITED STATES","22-30 Days",358,"USA","Female","56-65","English",10,10,10,10,10,10,10,10,3472,"HR Lost Pines",5,"Lost Pines","United States","Americas",30.163423,-97.445459,"USD","Domestic","Regency Club","Americas","Full Service","Resort","Upper Upscale Class","Suburban","Managed","GOLD","Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",179,"OMGDS","NE","UNITED STATES","22-30 Days",537,"USA","Female","36-45","English",8,2,8,10,9,1,1,NA,3301,"GH Washington",5,"Washington","United States","Americas",38.899591,-77.026465,"USD","Domestic","Grand Club","Americas","Full Service","Convention","Luxury Class","Urban","Managed","GOLD","Electronic Distribution","Passive"
"VOLUME","BUSINESS",90,"FWAZF","IN","UNITED STATES","0-3 Days",180,"USA","Male","36-45","English",10,10,10,NA,10,10,NA,NA,3533,"HP Fort Wayne",1,"Fort Wayne","United States","Americas",41.131395,-85.140222,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed","Diamond","Hotel","Promoter"
"VOLUME","BUSINESS",99,"CHSZC","NY","UNITED STATES","8-14 Days",396,"USA","Male","56-65","English",8,8,7,8,9,8,8,5,3729,"HP Charleston Convention",2,"North Charleston","United States","Americas",32.864261,-80.017557,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Franchised","Platinum","Hotel","Passive"
"VOLUME","BUSINESS",81,"OMARO","TX","UNITED STATES","8-14 Days",81,"USA","Male","56-65","English",3,3,2,NA,5,9,NA,NA,3623,"HP OKC Northwest",1,"Oklahoma City","United States","Americas",35.523857,-97.53759,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","PLAT","Global Contact Center","Detractor"
"CONVENTION","BUSINESS",89,"FWAZF","IN","UNITED STATES","4-7 Days",89,"USA","Male","26-35","English",10,9,10,9,8,10,8,10,3533,"HP Fort Wayne",1,"Fort Wayne","United States","Americas",41.131395,-85.140222,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Managed",NA,"Hotel","Promoter"
"DISCOUNT","LEISURE",184,"OMARO","CA","UNITED STATES","61-90 Days",920,"USA","Female","56-65","English",9,7,8,8,9,8,9,1,3010,"HR Washington",4,"Washington","United States","Americas",38.895137,-77.011447,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed","Gold","Global Contact Center","Promoter"
"RACK","BUSINESS",89,"OMGDS","CA","UNITED STATES","0-3 Days",267,"USA","Male","18-25","English",8,8,6,9,9,9,9,8,3630,"HP Pleasanton",2,"Dublin","United States","Americas",37.70574,-121.887367,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Electronic Distribution","Passive"
"DISCOUNT","BUSINESS",98.1,"MARRO","CA","UNITED STATES","0-3 Days",98.1,"USA","Female","36-45","English",10,10,10,10,10,10,10,NA,3426,"HR Santa Clara",2,"Santa Clara","United States","Americas",37.405161,-121.976592,"USD","Domestic","Regency Club","Americas","Full Service","Business","Upper Upscale Class","Suburban","Managed","Platinum","Global Contact Center","Promoter"
"VOLUME","BUSINESS",100,"OMGDS",NA,NA,"8-14 Days",500,"USA","Female","36-45","English",7,6,5,4,6,7,7,5,3592,"HP Richmond Innsbrook",1,"Glen Allen","United States","Americas",37.649781,-77.584185,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Electronic Distribution","Passive"
"DISCOUNT","BUSINESS",93,"OMGDS","OH","UNITED STATES","8-14 Days",186,"USA","Male","56-65","English",9,9,9,9,9,9,9,9,3595,"HP Cincinnati NE",1,"Mason","United States","Americas",39.301434,-84.31558,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned","Gold","Electronic Distribution","Promoter"
"DISCOUNT","LEISURE",104.25,"OMGDS","TX","UNITED STATES","8-14 Days",208.5,"USA","Female","26-35","English",10,10,10,10,10,10,10,10,18002,"HP Corpus Christi",1,"Corpus Christi","United States","Americas",27.696245,-97.349457,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Electronic Distribution","Promoter"
"DISCOUNT","LEISURE",107,"BNAZB","TN","UNITED STATES","0-3 Days",107,"USA","Male","56-65","English",10,10,10,NA,NA,NA,NA,NA,3574,"HP Brentwood",2,"Brentwood","United States","Americas",36.03908,-86.780183,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned",NA,"Hotel","Promoter"
"CONVENTION","BUSINESS",139,"OMGDS","CT","UNITED STATES","31-60 Days",278,"USA","Male","46-55","English",10,10,10,NA,10,10,NA,NA,3422,"HR Jacksonville",2,"Jacksonville","United States","Americas",30.324201,-81.65534,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed","GOLD","Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",122,"BNAZO","TN","UNITED STATES","31-60 Days",366,"USA","Female","56-65","English",10,10,10,NA,10,10,NA,NA,3577,"HP Opryland",2,"Nashville","United States","Americas",36.162664,-86.781602,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Owned","GOLD","Hotel","Promoter"
"RACK","LEISURE",159,"OMARO","CA","UNITED STATES","8-14 Days",159,"USA","Female","56-65","English",8,8,8,8,7,7,8,10,3654,"HP San Jose Downtown",2,"San Jose","United States","Americas",37.330103,-121.891422,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Franchised","Gold","Global Contact Center","Passive"
"VOLUME","BUSINESS",101.15,"OMGDS","GA","UNITED STATES","8-14 Days",101.15,"USA","Male","46-55","English",8,9,9,NA,9,10,NA,NA,3621,"HP Milwaukee Airport",1,"Milwaukee","United States","Americas",42.947176,-87.913726,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Franchised","Platinum","Electronic Distribution","Passive"
"WHOLESALE","BUSINESS",87.5,"VILLA",NA,"MEXICO","15-21 Days",87.5,"Mexico","Female","56-65","Spanish (Americas)",10,10,7,5,10,10,NA,10,3246,"HR Villahermosa",1,"Villahermosa","Mexico","Americas",31.727534,-106.441799,"MXN","International","Regency Club","Americas","Full Service","Business","Upper Upscale Class","Urban","Managed",NA,"Hotel","Promoter"
"RACK","BUSINESS",129,"OMARO","CT","UNITED STATES","22-30 Days",129,"USA","Female","46-55","English",1,2,1,3,NA,1,2,8,3625,"HP Orlando Airport",2,"Orlando","United States","Americas",28.461077,-81.313728,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Managed","Gold","Global Contact Center","Detractor"
"CONVENTION","BUSINESS",89,"OMARO","KY","UNITED STATES","8-14 Days",89,"USA","Female","36-45","English",10,10,10,NA,10,10,NA,NA,3554,"HP Blue Ash",1,"Blue Ash","United States","Americas",39.276184,-84.375658,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Global Contact Center","Promoter"
"DISCOUNT","LEISURE",123,"OMARO","TX","UNITED STATES","0-3 Days",123,"USA","Female","36-45","English",7,6,6,5,6,8,9,NA,3674,"HH Lincoln Park",1,"Dallas","United States","Americas",32.862426,-96.771265,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Franchised","Gold","Global Contact Center","Passive"
"SPECIAL","BUSINESS",154,"OMGDS","TX","UNITED STATES","22-30 Days",308,"USA","Female","56-65","English",10,10,10,7,10,10,10,NA,3672,"HH Dallas Uptown",1,"Dallas","United States","Americas",32.795092,-96.810102,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Franchised",NA,"Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",239,"OMGDS","TX","UNITED STATES","4-7 Days",478,"USA","Male","46-55","English",9,9,9,NA,9,9,NA,NA,3472,"HR Lost Pines",5,"Lost Pines","United States","Americas",30.163423,-97.445459,"USD","Domestic","Regency Club","Americas","Full Service","Resort","Upper Upscale Class","Suburban","Managed","Gold","Electronic Distribution","Promoter"
"VOLUME","BUSINESS",109,"OMGDS",NA,NA,"8-14 Days",1417,"USA","Male","46-55","English",10,10,10,10,10,10,10,10,3859,"HH Broomfield",2,"Broomfield","United States","Americas",39.940358,-105.124679,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised",NA,"Electronic Distribution","Promoter"
"CONVENTION","BUSINESS",99.5,"OMGDS","TX","UNITED STATES","90+ Days",298.5,"USA","Male","66-75","English",10,10,10,10,10,10,10,10,3421,"GH DFW",3,"DFW Airport","United States","Americas",32.897546,-97.044252,"USD","Domestic",NA,"Americas","Full Service","Business","Luxury Class","Airport","Managed","DIAM","Electronic Distribution","Promoter"
"SPECIAL","BUSINESS",113,"OMGDS","GA","UNITED STATES","4-7 Days",226,"USA","Male","46-55","English",9,9,9,8,9,9,9,NA,3531,"HP Atlanta Downtown",2,"Atlanta","United States","Americas",33.763528,-84.387011,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Franchised","Platinum","Electronic Distribution","Promoter"
"DISCOUNT","BUSINESS",287.54,"OMGDS","CA","UNITED STATES","15-21 Days",1437.7,"USA","Male","18-25","English",6,7,7,NA,7,9,NA,NA,3010,"HR Washington",4,"Washington","United States","Americas",38.895137,-77.011447,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed",NA,"Electronic Distribution","Detractor"
"DISCOUNT","BUSINESS",206.1,"OMGDS","FL","UNITED STATES","31-60 Days",412.2,"USA","Female","26-35","English",6,7,9,9,9,9,9,NA,3328,"HR Grand Cypress",5,"Orlando","United States","Americas",28.381945,-81.510327,"USD","Domestic","Regency Club","Americas","Full Service","Resort","Upper Upscale Class","Resort","Owned","GOLD","Electronic Distribution","Detractor"
"RACK","BUSINESS",149,"OMARO","CA","UNITED STATES","61-90 Days",745,"USA","Female","56-65","English",2,5,5,1,5,2,2,7,3302,"HY Arlington",3,"Arlington","United States","Americas",38.895123,-77.072855,"USD","Domestic",NA,"Americas","Full Service","Franchise","Upper Upscale Class","Suburban","Franchised","Gold","Global Contact Center","Detractor"
"CONVENTION","BUSINESS",179,"OMGDS","FL","UNITED STATES","31-60 Days",537,"USA","Male","36-45","English",2,3,1,NA,3,5,NA,NA,3422,"HR Jacksonville",2,"Jacksonville","United States","Americas",30.324201,-81.65534,"USD","Domestic","Regency Club","Americas","Full Service","Convention","Upper Upscale Class","Urban","Managed",NA,"Electronic Distribution","Detractor"
"CONVENTION","BUSINESS",104,"OKCZO","OK","UNITED STATES","15-21 Days",208,"USA","Male","56-65","English",9,9,9,9,9,9,9,8,3566,"HP OKC Airport",1,"Oklahoma City","United States","Americas",35.446079,-97.600488,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Owned",NA,"Hotel","Promoter"
"RACK","LEISURE",174,"OMGDS","TX","UNITED STATES","0-3 Days",174,"USA","Male","56-65","English",7,7,6,8,5,10,10,9,3672,"HH Dallas Uptown",1,"Dallas","United States","Americas",32.795092,-96.810102,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Franchised",NA,"Electronic Distribution","Passive"
"CONVENTION","BUSINESS",129,"OMARO","MI","UNITED STATES","90+ Days",258,"USA","Female","46-55","English",8,8,10,10,10,8,9,9,34001,"HP Novi",1,"Novi","United States","Americas",42.489236,-83.502678,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","GOLD","Global Contact Center","Passive"
"DISCOUNT","LEISURE",71,"OMGDS","TX","UNITED STATES","0-3 Days",426,"USA","Female","56-65","English",10,10,10,9,10,10,10,NA,3649,"HH Colorado Springs",2,"Colorado Springs","United States","Americas",38.914545,-104.82276,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Electronic Distribution","Promoter"
"RACK","BUSINESS",93,"OMGDS","IL","UNITED STATES","4-7 Days",372,"USA","Male","26-35","English",8,7,9,8,8,9,9,9,3615,"HP Grand Prairie",2,"Grand Prairie","United States","Americas",32.772072,-97.060564,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Franchised","Gold","Electronic Distribution","Passive"
"RACK","BUSINESS",119,"OMGDS","NH","UNITED STATES","31-60 Days",476,"USA","Female","46-55","English",10,10,10,10,10,10,10,10,3485,"HH Charlotte Airport",1,"Charlotte","United States","Americas",35.178587,-80.892848,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Airport","Franchised","GOLD","Electronic Distribution","Promoter"
"DISCOUNT","BUSINESS",135,"OMGDS","TX","UNITED STATES","15-21 Days",135,"USA","Female","26-35","English",10,10,10,10,10,10,10,10,3674,"HH Lincoln Park",1,"Dallas","United States","Americas",32.862426,-96.771265,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Urban","Franchised","Gold","Electronic Distribution","Promoter"
"DISCOUNT","BUSINESS",71.4,"OMGDS","ON","CANADA","61-90 Days",142.8,"Canada","Female","36-45","English",8,8,8,8,8,10,10,10,3611,"HP Itasca",1,"Itasca","United States","Americas",41.986403,-88.003471,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Suburban","Owned","GOLD","Electronic Distribution","Passive"
"CONVENTION","BUSINESS",179,"MARRO","FL","UNITED STATES","22-30 Days",358,"USA","Female","36-45","English",10,10,10,10,10,10,10,9,3519,"HP FTL 17th Street",2,"Ft. Lauderdale","United States","Americas",26.097935,-80.13327,"USD","Domestic",NA,"Americas","Select Service","Select Service","Upscale Class","Resort","Franchised","Gold","Global Contact Center","Promoter"
